codart,Descripcion,Descadicional,Familia,CodBarra,agrupacion,marca
0105004020,040IN VEDETINA PANZER D  COMP,BOMBACHA,LENCERIA,040IN,BOMBACHA,INTELLIGENTBRA
0105004030,041IN VEDETINA PANZER LEVANTAC,BOMBACHA,LENCERIA,041IN,BOMBACHA,INTELLIGENTBRA
0105004040,042IN COLA LESS PANZER DE COMP,BOMBACHA,LENCERIA,042IN,BOMBACHA,INTELLIGENTBRA
0105004050,043IN COLA LESS PANZER DE COMP,BOMBACHA,LENCERIA,043IN,BOMBACHA,INTELLIGENTBRA
0801000050,001IN CLIP MAGICO PACKX8,ACRILICO,ACCESORIOS,001IN,EXTENSOR,INTELLIGENTBRA
0801000060,003IN REGULADOR PACK 3,ACRILICO,ACCESORIOS,003IN,EXTENSOR,INTELLIGENTBRA
0801000070,003IN1 REGULADOR C/ELAST DE SI,ACRILICO,ACCESORIOS,003IN1,EXTENSOR,INTELLIGENTBRA
0801000080,004IN REGULADOR DE CONT PACKX,ACRILICO,ACCESORIOS,004IN,EXTENSOR,INTELLIGENTBRA
0801000090,005IN REGULADOR DE CONT PACK E,ACRILICO,ACCESORIOS,005IN,EXTENSOR,INTELLIGENTBRA
0801000100,006IN REG DE CONT PACK 3 C EL,ACRILICO,ACCESORIOS,006IN,EXTENSOR,INTELLIGENTBRA
0801000110,013IN CONVERTIDOR,EXTENSOR,ACCESORIOS,013IN,EXTENSOR,INTELLIGENTBRA
0801000120,014IN TRIP SECURITY,EXTENSOR,ACCESORIOS,014IN,EXTENSOR,INTELLIGENTBRA
0801000130,015IN TRIP SECURITY BOXER,EXTENSOR,ACCESORIOS,015IN,EXTENSOR,INTELLIGENTBRA
0801000140,017IN CAMI- SECRET,EXTENSOR,ACCESORIOS,017IN,EXTENSOR,INTELLIGENTBRA
0801000150,018IN POCKET BRA BLANCO NEGRO,EXTENSOR,ACCESORIOS,018IN,EXTENSOR,INTELLIGENTBRA
0801000160,026IN CONVERTIDOR SIL BAC LESS,EXTENSOR,ACCESORIOS,026IN,EXTENSOR,INTELLIGENTBRA
0801000170,025IN UNDER SHIE PR ANT,EXTENSOR,ACCESORIOS,025IN,EXTENSOR,INTELLIGENTBRA
0801000180,028IN PROTECT BRA,EXTENSOR,ACCESORIOS,028IN,EXTENSOR,INTELLIGENTBRA
0801000190,051IN HP SOFT BACK BANDAS,EXTENSOR,ACCESORIOS,051IN,EXTENSOR,INTELLIGENTBRA
0802000120,002INBRETEL COMF,ACRILICO,ACCESORIOS,002IN,BRETEL,INTELLIGENTBRA
0802000130,007IN 6MM BRETELES DEMONT PACK,BRETEL,ACCESORIOS,007IN,BRETEL,INTELLIGENTBRA
0802000140,007IN1 10MM BRETELES DESMONT P,BRETEL,ACCESORIOS,007IN1,BRETEL,INTELLIGENTBRA
0802000150,008IN BRETELES DESMONT SPORT P,BRETEL,ACCESORIOS,008IN,BRETEL,INTELLIGENTBRA
0802000160,019IN BRETEL SLICONA DEM PACK,BRETEL,ACCESORIOS,019IN,BRETEL,INTELLIGENTBRA
0802000170,019IN1 BRETEL D SLLCONA C/PERL,BRETEL,ACCESORIOS,019IN1,BRETEL,INTELLIGENTBRA
0802000180,081IN BRETELES TELA 6MM GACH,BRETEL,ACCESORIOS,081IN,BRETEL,INTELLIGENTBRA
0802000190,082IN BRETELES TELLA 6MM,BRETEL,ACCESORIOS,082IN,BRETEL,INTELLIGENTBRA
0802000200,083IN BRETELES TELA 10MM,BRETEL,ACCESORIOS,083IN,BRETEL,INTELLIGENTBRA
0802000210,084IN BRETELES TELA 10MM,BRETEL,ACCESORIOS,084IN,BRETEL,INTELLIGENTBRA
0802000220,085IN BRETELES TELA D SILICONA,BRETEL,ACCESORIOS,085IN,BRETEL,INTELLIGENTBRA
0802000230,086IN BRETELES D SILICONA DE 1,BRETEL,ACCESORIOS,086IN,BRETEL,INTELLIGENTBRA
0802000240,087IN BRETELES DE SILICONA DE,BRETEL,ACCESORIOS,087IN,BRETEL,INTELLIGENTBRA
0802000250,088IN BRETELES DE SILICONA 10M,BRETEL,ACCESORIOS,088IN,BRETEL,INTELLIGENTBRA
0803000030,021IN NIPPLE DISP PAD 10 UNID,PEZONERA,ACCESORIOS,021IN,PEZONERA,INTELLIGENTBRA
0803000040,021IN1 NIPPLE DISP BLE PAD PET,PEZONERA,ACCESORIOS,021IN1,PEZONERA,INTELLIGENTBRA
0808000010,009IN PUSH UP GEL,SILICONA,ACCESORIOS,009IN,SILICONA,INTELLIGENTBRA
0808000020,010IN PUCH UP GEL,SILICONA,ACCESORIOS,010IN,SILICONA,INTELLIGENTBRA
0808000030,011IN PUSH UP GEL,SILICONA,ACCESORIOS,011IN,SILICONA,INTELLIGENTBRA
0808000040,012IN PUCH UP GEL,SILICONA,ACCESORIOS,012IN,SILICONA,INTELLIGENTBRA
0808000050,020IN NIPPLE SILICONE GEL PAD,SILICONAS,ACCESORIOS,020IN,SILICONA,INTELLIGENTBRA
0808000060,033IN SILICON BREAST BRA,SILICONA,ACCESORIOS,033IN,SILICONA,INTELLIGENTBRA
0808000070,052IN HP SOFT PATCH,SILICONA,ACCESORIOS,052IN,SILICONA,INTELLIGENTBRA
0808000080,053IN HP SOFT STRIPS,SILICONA,ACCESORIOS,053IN,SILICONA,INTELLIGENTBRA
0808000090,054IN HP SOFT PADS,SILICONA,ACCESORIOS,054IN,SILICONA,INTELLIGENTBRA
0808000100,055IN HP SOFT PADS,SILICONA,ACCESORIOS,055IN,SILICONA,INTELLIGENTBRA
0809000010,016IN WASH BRA BALL,ACRILICO,ACCESORIOS,016IN,ACRILICOS,INTELLIGENTBRA
0809000020,022IN UNDERRM,ACRILICO,ACCESORIOS,022IN,ACRILICOS,INTELLIGENTBRA
0809000030,023IN UNDERRM,ACRILICO,ACCESORIOS,023IN,ACRILICOS,INTELLIGENTBRA
0809000040,027IN WASH CLOT BAG,ACRILICO,ACCESORIOS,027IN,ACRILICOS,INTELLIGENTBRA
