CodArt;Descripcion;DescAdicional;Familia;CodigoBarras;agrupacion;marca
0402004220;TOA CAL BL 0001;ACALFTBAROWE0001;BLANQUERIA;7798153672221;TOALLA;calfat
0402004230;TOA OWEN DURAZNO 2065;ACALFTBAROWE2065;BLANQUERIA;7798153672238;TOALLA;calfat
0402004240;TOA  OWEN AZUL 6676;ACALFTBAROWE6676;BLANQUERIA;7798153672245;TOALLA;calfat
0402004250;TOA OWEN VERDE 7317;ACALFTBAROWE7317;BLANQUERIA;7798153672252;TOALLA;calfat
0402004260;TOA  OWEN FUCSIA 3048;ACALFTBAROWE3048;BLANQUERIA;7798153672269;TOALLA;calfat
0402004270;TOA  OWEN LILA 5130;ACALFTBAROWE5130;BLANQUERIA;7798153672276;TOALLA;calfat
0402004280;TOA OWEN PURPURA 5552;ACALFTBAROWE5552;BLANQUERIA;7798153673280;TOALLA;calfat
0402004290;TO  OWEN VERDE 7317;ACALFTROROWE7317;BLANQUERIA;7798153673297;TOALLA;calfat
0402004300;TO  OWEN TURQUESA 6049;ACALFTROROWE6049;BLANQUERIA;7798153673303;TOALLA;calfat
0402004310;TO  OWEN AZUL 6676;ACALFTROROWE6676;BLANQUERIA;7798153673310;TOALLA;calfat
0402004320;TO  OWEN BLANCO 0001;ACALFTROROWE0001;BLANQUERIA;7798153673327;TOALLA;calfat
0402004330;TO  OWEN DURAZNO 2065;ACALFTROROWE2065;BLANQUERIA;7798153673334;TOALLA;calfat
0402004340;TO  OWEN FUCSIA 3048;ACALFTROROWE3048;BLANQUERIA;7798153673556;TOALLA;calfat
0402004350;TO  OWEN LILA 5130;ACALFTROROWE5130;BLANQUERIA;7798153673563;TOALLA;calfat
0402004360;TO  OWEN PURPURA 5552;ACALFTROROWE5552;BLANQUERIA;7798153673587;TOALLA;calfat
0402004370;TOA  OWEN TURQUESA 6049;ACALFTBAROWE6049;BLANQUERIA;7798153673594;TOALLA;calfat
