CodArt,Descripcion,Descadic,Familia,Codbarras,agrupacion,marca
0201016760,953COA COA BOXER,BOXER,LINEA UNDERWARE HOMBRE,953COA,BOXER,coacoa
0201038040,942 BOXER MICROFIBRA,BOXER,LINEA UNDERWARE HOMBRE,942,BOXER,coacoa
0201038050,962 BOXER MICROFIBRA,BOXER,LINEA UNDERWARE HOMBRE,962,BOXER,coacoa
0201038060,941 BOXER MICROFIBRA,BOXER,LINEA UNDERWARE HOMBRE,941,BOXER,coacoa
0201038070,954 INTERMEZZO,BOXER,LINEA UNDERWARE HOMBRE,954,BOXER,coacoa
0201038080,956 INTERMEZZO,BOXER,LINEA UNDERWARE HOMBRE,956,BOXER,coacoa
0201038090,962COA BOXER MICROFIBRA,BOXER,LINEA UNDERWARE HOMBRE,962COA,BOXER,coacoa
0201038100,942COA BOXER MICROFIBRA,BOXER,LINEA UNDERWARE HOMBRE,942COA,BOXER,coacoa
0319002470,CAMISETA MULTIFILAMENTO,CAMISETA,INDUMENTARIA,510,CAMISETA,coacoa
0701000010,2100.0  MEDIAS SOQUETES,SOQUETE,MEDIAS,2100.0,SOQUETE,coacoa
0701000020,2100.1 MEDIAS SOQUETES,SOQUETE,MEDIAS,2100.1,SOQUETE,coacoa
0701000030,2100.2 MEDIAS SOQUETES,SOQUETE,MEDIAS,2100.2,SOQUETE,coacoa
0701000040,2100.3 MEDIAS SOQUETES,SOQUETE,MEDIAS,2100.3,SOQUETE,coacoa
0701000050,2100.4  MEDIAS SOQUETES,SOQUETE,MEDIAS,2100.4,SOQUETE,coacoa
0701000060,2100.5 MEDIAS SOQUETES,SOQUETE,MEDIAS,2100.5,SOQUETE,coacoa
0701000070,2100.6  SOQUETE,SOQUETE,MEDIAS,2100.6,SOQUETE,coacoa
0701000080,2150.0 SOQUETE COLEGIAL,SOQUETE,MEDIAS,2150.0,SOQUETE,coacoa
0701000090,2150.1 SOQUETE COLEGIAL,SOQUETE,MEDIAS,2150.1,SOQUETE,coacoa
0701000100,2150.2 SOQUETE COLEGIAL,SOQUETE,MEDIAS,2150.2,SOQUETE,coacoa
0701000110,2150.3 SOQUETE COLEGIAL,SOQUETE,MEDIAS,2150.3,SOQUETE,coacoa
0701000120,2150.4 SOQUETE COLEGIAL,SOQUETE,MEDIAS,2150.4,SOQUETE,coacoa
0701000130,2150.5 SOQUETE COLEGIAL,SOQUETE,MEDIAS,2150.5,SOQUETE,coacoa
0701000140,2200.00 MEDIAS BEBE,SOQUETE,MEDIAS,2200.00,SOQUETE,coacoa
0701000150,2250.0 COLEGIAL COA COA,SOQUETE,MEDIAS,2250.0,SOQUETE,coacoa
0701000160,2250.1 COLEGIAL COA COA,SOQUETE,MEDIAS,2250.1,SOQUETE,coacoa
0701000170,2250.2  COLEGIAL COA COA,SOQUETE,MEDIAS,2250.2,SOQUETE,coacoa
0701000180,2250.3 COLEGIAL COA COA,SOQUETE,MEDIAS,2250.3,SOQUETE,coacoa
0701000190,2250.4  COLEGIAL COA,SOQUETE,MEDIAS,2250.4,SOQUETE,coacoa
0701000200,2250.5  COLEGIAL COA,SOQUETE,MEDIAS,2250.5,SOQUETE,coacoa
0701000210,2300.00 MEDIAS BEBE,SOQUETE,MEDIAS,2300.00,SOQUETE,coacoa
0701000220,2400C MEDIAS,SOQUETE,MEDIAS,2400C,SOQUETE,coacoa
0701000230,2400 MEDIAS INTERMEZZO,SOQUETE,MEDIAS,2400IN,SOQUETE,coacoa
0701000240,2500.0  MEDIAS SOQUETES,SOQUETE,MEDIAS,2500.0,SOQUETE,coacoa
0701000250,2500.1 MEDIAS SOQUETES,SOQUETE,MEDIAS,2500.1,SOQUETE,coacoa
0701000260,2500.2 MEDIAS SOQUETES,SOQUETE,MEDIAS,2500.2,SOQUETE,coacoa
0701000270,2500.3 MEDIAS SOQUETES,SOQUETE,MEDIAS,2500.3,SOQUETE,coacoa
0701000280,2500.4 MEDIAS SOQUETES,SOQUETE,MEDIAS,2500.4,SOQUETE,coacoa
0701000290,2500.5 MEDIAS SOQUETES,SOQUETE,MEDIAS,2500.5,SOQUETE,coacoa
0701000300,2500.6 MEDIAS SOQUETES,SOQUETE,MEDIAS,2500.6,SOQUETE,coacoa
0701000310,2510C SOQUETE LISA DAMA,SOQUETE,MEDIAS,2510C,SOQUETE,coacoa
0701000320,2510COA SOQUETE LISA DAMA,SOQUETE,MEDIAS,2510COA,SOQUETE,coacoa
0701000330,2520COA SOQUETE,SOQUETE,MEDIAS,2520COA,SOQUETE,coacoa
0701000340,2600.0  MEDIAS SOQ DOBLE PUÑO,SOQUETE,MEDIAS,2600.0,SOQUETE,coacoa
0701000350,2600.1 MEDIAS SOQ DOBLE PUÑO,SOQUETE,MEDIAS,2600.1,SOQUETE,coacoa
0701000360,2600.2 MEDIAS SOQ DOBLE PUÑO,SOQUETE,MEDIAS,2600.2,SOQUETE,coacoa
0701000370,2600.3 MEDIAS SOQ DOBLE PUÑO,SOQUETE,MEDIAS,2600.3,SOQUETE,coacoa
0701000380,2600.4 MEDIAS SOQ DOBLE PUÑO,SOQUETE,MEDIAS,2600.4,SOQUETE,coacoa
0701000390,2600.5 MEDIAS SOQ DOBLE PUÑO,SOQUETE,MEDIAS,2600.5,SOQUETE,coacoa
0701000400,2600.6 MEDIAS SOQ DOBLE PUÑO,SOQUETE,MEDIAS,2600.6,SOQUETE,coacoa
0701000410,3000C MEDIAS COA COA,SOQUETE,MEDIAS,3000C,SOQUETE,coacoa
0701000420,3000COA MEDIAS COA COA,SOQUETE,MEDIAS,3000COA,SOQUETE,coacoa
0701000430,3000IN MEDIAS,SOQUETE,MEDIAS,3000IN,SOQUETE,coacoa
0701000440,3010C,SOQUETE,MEDIAS,3010C,SOQUETE,coacoa
0701000450,3010COA,SOQUETE,MEDIAS,3010COA,SOQUETE,coacoa
0701000460,3040COA MEDIA ESTAMP,SOQUETE,MEDIAS,3040COA,SOQUETE,coacoa
0701000470,3042COA MEDIA ESTAMPADA,SOQUETE,MEDIAS,3042COA,SOQUETE,coacoa
0701000480,3044COA MEDIA ESTAMPADA,SOQUETE,MEDIAS,3044COA,SOQUETE,coacoa
0701000490,3046COA MEDIA ESTAMPADA,SOQUETE,MEDIAS,3046COA,SOQUETE,coacoa
0701000500,3048COA MEDIA ESTAMPADA,SOQUETE,MEDIAS,3048COA,SOQUETE,coacoa
0701000510,3050COA MEDIAS,SOQUETE,MEDIAS,3050COA,SOQUETE,coacoa
0701000520,4500.0 LISA COA COA,SOQUETE,MEDIAS,4500.0,SOQUETE,coacoa
0701000530,4500.1 LISA COA COA,SOQUETE,MEDIAS,4500.1,SOQUETE,coacoa
0701000540,4500.2 LISA COA COA,SOQUETE,MEDIAS,4500.2,SOQUETE,coacoa
0701000550,4500.3 LISA COA COA,SOQUETE,MEDIAS,4500.3,SOQUETE,coacoa
0701000560,4500.4 LISA COA COA,SOQUETE,MEDIAS,4500.4,SOQUETE,coacoa
0701000570,4500.5 LISA COA COA,SOQUETE,MEDIAS,4500.5,SOQUETE,coacoa
0701000580,4500.6 LISA COA COA,SOQUETE,MEDIAS,4500.6,SOQUETE,coacoa
0701005340,5100COA MEDIA,MEDIAS,MEDIAS,5100COA,SOQUETE,coacoa
0701005350,2090COA PLANTIN,MEDIAS,MEDIAS,2090COA,SOQUETE,coacoa
0701005360,2150.6 SOQUETE COLEGIAL,MEDIAS,MEDIAS,2150.6,SOQUETE,coacoa
0701005370,2250.6  COLEGIAL COA,MEDIAS,MEDIAS,2250.6,SOQUETE,coacoa
0701005380,3049COA MEDIA RAYADA,MEDIAS,MEDIAS,3049COA,SOQUETE,coacoa
0701005390,3090COA MEDIA PLANTIN,MEDIAS,MEDIAS,3090COA,SOQUETE,coacoa
0702000010,1000.0 MEDIA BLANCA CALADA,1/2 CAÑA,MEDIAS,1000.0,MEDIA CAÑA,coacoa
0702000020,1000.1 MEDIA BLANCA CALADA,1/2 CAÑA,MEDIAS,1000.1,MEDIA CAÑA,coacoa
0702000030,1000.2 MEDIA BLANCA CALADA,1/2 CAÑA,MEDIAS,1000.2,MEDIA CAÑA,coacoa
0702000040,1000.3 MEDIA BLANCA CALADA,1/2 CAÑA,MEDIAS,1000.3,MEDIA CAÑA,coacoa
0702000050,1000.4 MEDIA BLANCA CALADA,1/2 CAÑA,MEDIAS,1000.4,MEDIA CAÑA,coacoa
0702000060,1000.5 MEDIA BLANCA CALADA,1/2 CAÑA,MEDIAS,1000.5,MEDIA CAÑA,coacoa
0702000070,1000.6 MEDIA BLANCA CALADA,1/2 CAÑA,MEDIAS,1000.6,MEDIA CAÑA,coacoa
0702000080,1201COA MEDIA DAMA 3/4,1/2 CAÑA,MEDIAS,1201COA,MEDIA CAÑA,coacoa
0702000090,1202COA MEDIA DAMA 3/4,1/2 CAÑA,MEDIAS,1202COA,MEDIA CAÑA,coacoa
0702000100,1203COA MEDIA DAMA 3/4,1/2 CAÑA,MEDIAS,1203COA,MEDIA CAÑA,coacoa
0702000110,1204COA MEDIA DAMA 3/4,1/2 CAÑA,MEDIAS,1204COA,MEDIA CAÑA,coacoa
0702000120,1205COA COMP/ESTAM,1/2 CAÑA,MEDIAS,1205COA,MEDIA CAÑA,coacoa
0702000130,1206COA COMP/ESTAM,1/2 CAÑA,MEDIAS,1206COA,MEDIA CAÑA,coacoa
0702000140,1207COA COMP/ESTAM,1/2 CAÑA,MEDIAS,1207COA,MEDIA CAÑA,coacoa
0702000150,1208COA COMP/ESTAM,1/2 CAÑA,MEDIAS,1208COA,MEDIA CAÑA,coacoa
0702000160,1209COA COMP/ESTAM,1/2 CAÑA,MEDIAS,1209COA,MEDIA CAÑA,coacoa
0702000170,1210COA COMP/ESTAM,1/2 CAÑA,MEDIAS,1210COA,MEDIA CAÑA,coacoa
0702000180,1305COA MEDIAS COA COA,1/2 CAÑA,MEDIAS,1305COA,MEDIA CAÑA,coacoa
0702000190,1307COA COMP/ESTAM,1/2 CAÑA,MEDIAS,1307COA,MEDIA CAÑA,coacoa
0702000200,1308COA MEDIAS COA COA,1/2 CAÑA,MEDIAS,1308COA,MEDIA CAÑA,coacoa
0702000210,1309COA MEDIAS COA COA,1/2 CAÑA,MEDIAS,1309COA,MEDIA CAÑA,coacoa
0702000220,2000.0 MEDIAS,1/2 CAÑA,MEDIAS,2000.0,MEDIA CAÑA,coacoa
0702000230,2000.1 MEDIAS,1/2 CAÑA,MEDIAS,2000.1,MEDIA CAÑA,coacoa
0702000240,2000.2 MEDIAS,1/2 CAÑA,MEDIAS,2000.2,MEDIA CAÑA,coacoa
0702000250,2000.3 MEDIAS,1/2 CAÑA,MEDIAS,2000.3,MEDIA CAÑA,coacoa
0702000260,2000.4 MEDIAS,1/2 CAÑA,MEDIAS,2000.4,MEDIA CAÑA,coacoa
0702000270,2000.5 MEDIAS,1/2 CAÑA,MEDIAS,2000.5,MEDIA CAÑA,coacoa
0702000280,2000.6 MEDIAS,1/2 CAÑA,MEDIAS,2000.6,MEDIA CAÑA,coacoa
0702000290,2000C MEDIAS TALLE 4,1/2 CAÑA,MEDIAS,2000C,MEDIA CAÑA,coacoa
0702000300,2050COA MEDIA LISA DAMA,1/2 CAÑA,MEDIAS,2050COA,MEDIA CAÑA,coacoa
0702000310,3020C MEDIAS COA COA,1/2 CAÑA,MEDIAS,3020C,MEDIA CAÑA,coacoa
0702000320,3020COA MEDIAS COA COA,1/2 CAÑA,MEDIAS,3020COA,MEDIA CAÑA,coacoa
0702000330,3020IN INTERMEZZO MEDIAS,1/2 CAÑA,MEDIAS,3020IN,MEDIA CAÑA,coacoa
0702000340,4000.0 1/2 CAÑA COA COA,1/2 CAÑA,MEDIAS,4000.0,MEDIA CAÑA,coacoa
0702000350,4000.1 1/2 CAÑA COA COA,1/2 CAÑA,MEDIAS,4000.1,MEDIA CAÑA,coacoa
0702000360,4000.2 1/2 CAÑA COA COA,1/2 CAÑA,MEDIAS,4000.2,MEDIA CAÑA,coacoa
0702000370,4000.3 1/2 CAÑA COA COA,1/2 CAÑA,MEDIAS,4000.3,MEDIA CAÑA,coacoa
0702000380,4000.4 1/2 CAÑA COA COA,1/2 CAÑA,MEDIAS,4000.4,MEDIA CAÑA,coacoa
0702000390,4000.5 1/2 CAÑA COA COA,1/2 CAÑA,MEDIAS,4000.5,MEDIA CAÑA,coacoa
0702000400,4000.6 1/2 CAÑA COA COA,1/2 CAÑA,MEDIAS,4000.6,MEDIA CAÑA,coacoa
0702002730,945COA COA BOXER,BOXER,MEDIAS,945COA,MEDIA CAÑA,coacoa
0703000010,2070COA PLANTIN LISA SAMA,INVISIBLE,MEDIAS,2070COA,INVISIBLE,coacoa
0704000010,2530COA MEDIA TENIS DAMA,DEPORTIVA,MEDIAS,2530COA,DEPORTIVA,coacoa
0704000020,2540COA MEDIA TENIS DAMA,DEPORTIVA,MEDIAS,2540COA,DEPORTIVA,coacoa
0704000030,3030COA MEDIA,DEPORTIVA,MEDIAS,3030COA,DEPORTIVA,coacoa
0704000040,3060COA MEDIAS TENIS,DEPORTIVA,MEDIAS,3060COA,DEPORTIVA,coacoa
0704000050,3070COA MEDIAS TENIS,DEPORTIVA,MEDIAS,3070COA,DEPORTIVA,coacoa
0704000060,3100C MEDIAS COA COA,DEPORTIVA,MEDIAS,3100C,DEPORTIVA,coacoa
0704000070,3100COA MEDIAS COA COA,DEPORTIVA,MEDIAS,3100COA,DEPORTIVA,coacoa
0705000010,5000.0 MEDIAS COMP FINA,FINA,MEDIAS,5000.0,FINA,coacoa
0705000020,5000.1 MEDIAS COMP FINA,FINA,MEDIAS,5000.1,FINA,coacoa
0705000030,5000.2 MEDIAS COMP FINA,FINA,MEDIAS,5000.2,FINA,coacoa
0705000040,5000.3 MEDIAS COMP FINA,FINA,MEDIAS,5000.3,FINA,coacoa
0705000050,5000.4 MEDIAS COMP FINA,FINA,MEDIAS,5000.4,FINA,coacoa
0705000060,5000.5 MEDIAS COMP FINA,FINA,MEDIAS,5000.5,FINA,coacoa
0705000070,5000.6 MEDIAS COMP FINA,FINA,MEDIAS,5000.6,FINA,coacoa
0705000080,6000.0 CAN CAN COMP,FINA,MEDIAS,6000.0,FINA,coacoa
0705000090,6000.00 CAN CAN COMP,FINA,MEDIAS,6000.00,FINA,coacoa
0705000100,6000.1 CAN CAN COMP,FINA,MEDIAS,6000.1,FINA,coacoa
0705000110,6000.2 CAN CAN COMP,FINA,MEDIAS,6000.2,FINA,coacoa
0705000120,6000.3 CAN CAN COMP,FINA,MEDIAS,6000.3,FINA,coacoa
0705000130,6000.4 CAN CAN COMP,FINA,MEDIAS,6000.4,FINA,coacoa
0705000140,6000.0 CAN CAN COMP,FINA,MEDIAS,6000P0,FINA,coacoa
0705000150,6000P00,FINA,MEDIAS,6000P00,FINA,coacoa
0705000160,6000P2 PANTY TALLE 2,FINA,MEDIAS,6000P2,FINA,coacoa
0705000170,6000P3 PANTY   TALLE 3,FINA,MEDIAS,6000P3,FINA,coacoa
0705000180,6000P4 PANTY  TALLE 4,FINA,MEDIAS,6000P4,FINA,coacoa
0705000190,6000PT3 PANTY TALLE 3,FINA,MEDIAS,6000PT3,FINA,coacoa
0705000200,6000PT4 PANTY TALLE  4,FINA,MEDIAS,6000PT4,FINA,coacoa
0710000150,1400COA BUCANERA,MEDIAS,MEDIAS,1400COA,TERMICA,coacoa
0711000310,2300.0 MEDIAS BEBE,MEDIAS,MEDIAS,2300.0,BEBE,coacoa
